title,description,prompt,sourceUrl,sourceType,sourceAuthorName,mediaPath,thumbnailPath,workflowJsonPath,mediaType,sourceAuthorAvatar,workflowId,publishedAt,isPublic,importKey
Purgatory,（空）,A  product of my sick  mind,https://civitai.com/images/129966705,civitai,Stolentime,E:\下载\展示视频内容\1caaa33e-496b-408f-be4a-ced554072394.mp4,,E:\下载\文生视频-admin.json,video,,,,TRUE,
莫比乌斯环,（空）,a continuous loop of vehicles on a highway driving on a mobius strip like highway of twists and turns.,https://civitai.com/images/129885258,civitai,TheP3NGU1N,E:\下载\展示视频内容\4e29b13e-6a7a-4571-a156-968d9cdb95e5.mp4,,E:\下载\文生视频-admin.json,video,,,,TRUE,
Sensenmann,（空）,"A surreal, cinematic landscape unfolds in a vast, desolate marshland beneath a dramatic storm cloud. The scene is dominated by three tall, slender humanoid figures seen from behind, walking on immense stilts that lift them high above the shallow water and damp grass. They wear dark, worn cloaks with hoods that partially conceal their faces, lending them a mysterious, almost ethereal presence. Their posture is slightly bent forward, as if they are battling the wind, and they hold lit lanterns dangling from downward-sloping poles. The environment is vast and melancholic: a flooded plain dotted with reeds and reflections on the water stretches to the horizon. In the background, a jagged mountain range is faintly visible through the mist and fog, partially obscured by low clouds. The sky is heavy and turbulent, laden with layers of gray and blue storm clouds, from which a faint light filters at the horizon, creating a soft, diffuse glow. Composition: The figures, slightly off-center (rule of thirds), stand vertically, creating a strong sense of scale and isolation. The low horizon line emphasizes the vastness of the sky and the dramatic atmosphere. Depth is achieved through atmospheric perspective, with distant mountains merging into the mist. In the foreground, blurred grasses and water textures contribute to the immersive and natural framing. Lighting: Soft, diffuse, and low-contrast lighting, typical of a storm scene on an overcast day. Subtle reflections on the water and a slight backlight at the horizon create a painterly and melancholic effect. Style: A blend of dark fantasy and photorealistic digital painting. Strong influence of cinematic concept art, with a muted color palette (desaturated blues, grays, earthy browns). A slight grain and texture mimic traditional oil painting or high-end matte painting. An evocative, melancholic, and mysterious atmosphere. Atmosphere and themes: Isolation, transcendence, surreal journey, underlying tension, poetic desolation.",https://civitai.com/images/129713555,civitai,fagnardsecours426,E:\下载\展示视频内容\5a4640ce-2bcd-4f61-a4c4-a4f63f94df88.mp4,,E:\下载\文生视频-admin.json,video,,,,TRUE,
秘密接头,（空）,（空）,（空）,manual,VvxxNori88,E:\下载\展示视频内容\73cecb9f1c51810d9210d7180a978d29.mp4,,E:\下载\文生视频-admin.json,video,,,,TRUE,
剑客,（空）,（空）,https://civitai.com/images/129757967,civitai,afromane,E:\下载\展示视频内容\b743cb6c-4de3-479a-80fc-99dbd3089981.mp4,,E:\下载\图生视频-admin.json,video,,,,TRUE,
Drum-Playing Bear,（空）,"A massive grizzly bear aggressively playing an enormous double-bass drum kit during a thunderous heavy metal concert, cymbals crashing mid-air, drumsticks blurred in motion, stage lights exploding in red and blue hues, hyper detailed muscles and fur, cinematic concert smoke, realistic sweat particles, ultra dynamic composition, intense rock performance energy",https://civitai.com/images/130079667,civitai,smileshighstudios,E:\下载\展示视频内容\ba9f06e1-a54d-4ad0-8c77-d9055189e25b.mp4,,E:\下载\文生视频-admin.json,video,,,,TRUE,
Cute pug dog sleep rest,（空）,"side view of a fat pug laying down on an cute handmade beespoke hamock, the hammock seems too small for the fat pug but its ok, the pug wear this cheap tshirt that is too small, his belly bulge out of it, the pug barely and lazily hold a tablet that he use to watch youtube video, a small juice box with a straw just hang around on top of his belly, one of his leg comes out of the hammock just dangling there, the whole scene feels very dreamy, very lazy, and relaxed, blurry, bloomy, soft edge, veiling flares, realistic",https://civitai.com/images/129857320,civitai,Fujido,E:\下载\展示视频内容\cUm5MEUd.mp4,,E:\下载\文生图生视频-admin.json,video,,,,TRUE,
Cute Little Clay Pig,（空）,"Pigs, claymation style, stop motion clay, handcrafted clay character, clay diorama, sculpted clay figure, miniature clay scene, clay animation style",https://civitai.com/images/129904114,civitai,brunobautistabellot796,E:\下载\展示视频内容\f8eb527f.etrq1y.mp4,,E:\下载\文生视频-admin.json,video,,,,TRUE,
Psychedelic,（空）,（空）,https://civitai.com/images/129827064,civitai,NeonNinja,E:\下载\展示视频内容\f6168ace-47dc-41e7-8dc7-720a6bff53b9.mp4,,E:\下载\图生视频-admin.json,video,,,,TRUE,
月华树下,（空）,（空）,（空）,manual,QqzylLoop,E:\下载\展示视频内容\DRT20Y9PTD4Z8D1JQQ4BDVYHB0.mp4,,E:\下载\图生视频-admin.json,video,,,,TRUE,
Roof Sketch,（空）,（空）,https://civitai.com/images/130045439,civitai,PinkVelvet,E:\下载\展示视频内容\grok-video-62f3257f-b154-46dd-8dd6-6a3941b4647f.mp4,,E:\下载\图生视频-admin.json,video,,,,TRUE,
Mysterious Woman,（空）,"extreme close-up macro portrait of a hauntingly beautiful woman's face filling the frame, delicate intricate kintsugi golden veins and fine cracks naturally forming across her flawless porcelain-like skin, shimmering metallic gold elegantly filling every fracture, glossy cool-toned lips, captivating luminous eyes, Highly detailed, professional design, hauntingly eerie, beautiful. Adult female. dramatic soft rim lighting creating sparkling highlights on the gold veins, heavy shallow depth of field, strong cinematic lens blur, dreamy creamy bokeh with soft blue and golden light orbs, reduced cool palette of ice blue, silver and deep indigo with luminous warm gold accents, perfect golden ratio composition with eyes as focal point",https://civitai.com/images/130065507,civitai,Experimental_dAlver,E:\下载\展示视频内容\grok-video-haunting-porcelain-animated.mp4,,E:\下载\文生图生视频-admin.json,video,,,,TRUE,
Битва! Чистый восторг!,（空）,（空）,（空）,manual,rrAeroKkii,E:\下载\展示视频内容\home.mp4,,E:\下载\图生视频-admin.json,video,,,,TRUE,
Melancholy Singer,（空）,（空）,https://civitai.com/images/130081304,civitai,Silmas,E:\下载\展示视频内容\LTX2.3-_00002_.mp4,,E:\下载\图生视频-admin.json,video,,,,TRUE,
Нэгд?гээр х?ний ??тоглоомын интерфэйс,（空）,（空）,https://civitai.com/images/130260119,civitai,SAVITAR_SPEED_GOD,E:\下载\展示视频内容\LTX-2_00070_.mp4,,E:\下载\图生视频-admin.json,video,,,,TRUE,
Yoga at Sunset Beach,（空）,（空）,https://civitai.com/images/130051565,civitai,Lady_Luminous,E:\下载\展示视频内容\MNGVHTFPTB6SW7VSVTX2N1SF20.mp4,,E:\下载\图生视频-admin.json,video,,,,TRUE,
